Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
197109,  -0.05,  -0.05,  -0.24,  -1.67,  -1.56,   0.27,   0.68,   0.66,  -1.49,  -0.42,-0.0087
197110,  -4.33,  -5.06,  -6.03,  -4.30,  -4.37,  -1.83,  -3.39,  -2.47,   2.04,  -4.21,-0.0444
197111,  -0.38,   0.17,  -0.93,   0.02,   1.77,   0.43,   0.25,   0.69,  -1.22,  -0.27,-0.0050
197112,  10.52,   6.21,  10.04,   8.83,  11.28,   7.55,  10.29,   7.79,   8.12,   8.22,0.0876
197201,   2.51,   3.38,   3.36,   0.16,   8.42,   1.01,   0.26,   2.63,  -0.32,   3.36,0.0255
197202,   4.64,   0.57,   4.86,   2.61,   1.88,   0.24,   5.59,   7.12,  -2.50,   2.25,0.0288
197203,   0.09,   4.29,   2.52,  -5.45,   1.09,  -0.33,   2.03,   0.46,  -0.14,   2.29,0.0060
197204,   1.90,  -0.59,   1.87,  -0.66,   0.74,  -1.06,  -0.60,   1.10,  -2.80,   1.79,0.0026
197205,   0.40,  -1.20,   2.10,   3.62,   3.71,   1.24,   1.47,   3.71,  -0.17,  -0.63,0.0134
197206,  -1.11,  -2.92,  -2.21,  -0.98,  -2.55,  -2.64,  -3.95,   2.54,  -1.56,  -4.51,-0.0238
197207,  -1.61,  -2.00,   0.45,  -1.09,   0.95,   0.74,  -2.47,   3.10,   0.05,  -2.96,-0.0074
197208,  -0.10,   3.75,   2.21,  12.41,   2.86,   5.18,  -0.40,   1.05,   5.95,   3.55,0.0331
197209,  -2.60,  -0.92,  -1.18,  -0.21,  -1.16,   4.27,  -0.56,  -0.43,   0.18,  -1.74,-0.0111
197210,   0.02,  -2.35,   1.07,   3.12,  -3.30,   2.27,   0.90,   1.50,   6.77,   1.12,0.0047
197211,   6.87,   8.10,   4.23,   6.19,   2.50,   7.04,   5.96,  -0.53,   6.39,   5.12,0.0461
197212,   0.53,   1.74,   0.82,   1.05,   1.99,   1.45,   1.84,   3.73,  -1.54,  -0.76,0.0075
197301,  -4.71,  -6.69,  -3.64,   5.02,   1.92,  -2.12,  -4.28,  -1.18,  -4.28,  -7.47,-0.0321
197302,  -4.36,  -6.03,  -2.17,  -7.36,  -3.03,  -4.64,  -6.44,  -0.71,  -1.98,  -6.09,-0.0486
197303,  -1.04,  -2.85,  -0.42,   3.12,  -1.23,   0.53,  -5.71,   0.78,  -2.16,  -0.29,-0.0125
197304,  -6.29,  -5.10,  -4.56,  -1.03,  -6.70,   0.86,  -8.38,  -5.48,  -0.58,  -7.79,-0.0569
197305,  -2.12,  -4.30,  -1.24,  -3.45,  -2.59,  -0.84,  -2.17,   1.07,   0.36,  -5.03,-0.0296
197306,  -3.48,  -2.61,  -0.44,   1.61,  -0.09,  -0.32,  -5.74,   0.02,  -2.47,  -0.28,-0.0138
197307,   7.53,   7.20,   6.57,   0.34,   4.98,  -0.31,  11.02,   6.87,  -2.39,   9.56,0.0507
197308,  -3.32,  -3.91,  -1.62,  -3.74,  -3.68,  -3.93,  -4.23,  -6.91,  -2.09,  -2.24,-0.0367
197309,   5.87,   7.85,   4.58,   9.27,  -2.80,   7.67,   7.44,   0.79,   7.90,   7.20,0.0472
197310,  -2.34,  -4.50,   0.27,   5.22,   3.85,  -5.54,  -3.51,   1.83,  -3.38,  -1.05,-0.0068
197311, -14.31, -16.19, -14.49,  -6.17, -11.46,  -1.94, -18.72,  -7.77, -11.61, -13.45,-0.1265
