Month,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,US
197404,"-3,77","-3,94","-2,39","-6,3","-3,68","-5,31","-1,97","-1,48","-12,19","-6,39","-5,32"
197405,"-2,82","0,52","-2,09","-7,48","-4,26","-1,52","1,16","-0,12","-4,89","-8,41","-4,68"
197406,"-0,56","-2,71","-0,3","-0,27","-2,95","0,3","-2,72","-1,62","-6,17","-5,5","-2,81"
197407,"-10,21","-11,74","-7,29","-0,65","-8,45","-7,63","-12,89","-14,06","0,79","-6,64","-7,99"
197408,"-10,27","-6,7","-10,21","-8,54","-4,9","-0,04","-13,04","-8,11","-8,62","-10,62","-9,38"
197409,"-12,15","-12,76","-12,54","-7,87","-16,88","-3,81","-12,02","-15,55","-1,34","-9,58","-11,73"
197410,"15,64","4,1","16,26","20,97","14,83","10,85","10,23","29,52",13,"20,22","16,01"
197411,"-3,84","-4,67","-6,16","-4,18","-4,92","-3,09","-5,73","-1,2","-0,15","-2,76","-4,54"
197412,"-0,6","-3,86","-4,46","0,79","-5,3","1,57","-3,41","-3,37","-0,83","-4,35","-3,38"
197501,"18,88","21,31","14,47","6,51","15,29","11,1","25,86","-0,61","18,84","17,81","13,69"
197502,"4,1","4,58","8,12","2,28","13,21","5,16",5,"16,04","0,92","2,84","5,49"
197503,"7,07","6,69","5,07","-2,2",1,"-0,85","10,48","1,28","-1,34","4,11","2,66"
197504,"3,11",4,"9,45","7,26","5,54","-0,95","2,59","0,72","-1,58","3,3","4,19"
197505,"5,21","2,62","2,6","12,35","5,86","3,52","4,23","6,48","8,45","5,69","5,19"
197506,"5,35","10,2","3,64","6,24","2,27","4,07","7,52","0,91","10,77","5,95","4,81"
197507,"-5,39","-2,06","-5,85","-4,18","-9,4","-4,22","-7,45","-12,03","-4,78","-6,12","-6,57"
197508,"-3,12","-3,43","-0,88","-0,94","-2,97","-3,59","-0,25","-3,34","-1,3","-5,12","-2,86"
197509,"-2,51","-2,56","-5,65","-1,15","-0,84","-1,25","-3,5","-6,54","-0,97","-6,3","-4,26"
197510,"10,55","8,87","5,65","-1,39","8,38","6,82","9,8","10,68","6,51","3,91","5,26"
197511,"4,09","3,4","3,18","-1,63","5,02","4,26","4,42","5,12","3,12","3,56","2,7"
197512,"-1,51","-0,39","-1,4","0,06","-1,25","-0,1","-3,03","-6,36","1,33","-0,29","-1,59"
197601,11,"15,59","16,8","8,36","18,31","9,5","9,06","7,78","8,37","12,93","12,17"
197602,"-1,07","3,89","1,89","-3,15","1,2","3,56","4,54","-6,52","-3,53","3,12","0,35"
197603,"0,72","3,63","0,77","7,27","2,97","0,59","3,46","6,52","1,42","1,94","2,31"
197604,"-1,71","1,89","-1,4","2,12","-3,4","1,72","-4,65","-4,31","0,65","-1,56","-1,47"
197605,"-2,18","-3,18","-1,24","5,49","0,53","-2,95","-5,65","-2,81","-1,38","-1,67","-1,33"
197606,"3,65","4,26","3,96","5,07","8,21","3,58","1,38","3,66","4,27","5,4","4,05"
197607,"1,52","-1,07","-1,87","-0,66","-2,21","1,24","-2,22","-0,38","2,82","-0,05","-1,08"
197608,"-0,29","-1,43","-1,57","-0,88","-0,84","4,73","2,98","2,17","2,93","-1,14","-0,57"
197609,"1,53","4,52","0,91","5,98","2,89","1,61","0,37","3,62","4,1","0,94",2
197610,"-1,6","-1,18","-3,55","-2,41","-4,5","1,27","-0,91","-3,75","-0,84","-0,46","-2,41"
197611,"1,75","-0,75","-0,53","0,86","1,66","3,15","4,9","-9,69","3,16","2,04","0,35"
197612,"5,24","9,7","6,08","6,27","3,84","3,46","2,32","6,26","6,53","8,39","5,66"
197701,"-4,08","-4,14","-5,84","0,25","-3,88","0,1","-6,99","-8,82","0,8","-4,15","-4,02"
197702,"-1,4","-3,49","-0,72","-2,95","-0,65","0,97","-1,87","-0,21","-3,4","-1,75","-1,91"
197703,"-1,39","-3,37","-0,15","-2,08","-0,04","-1,03","-2,71","-1,79","0,15","-0,11","-1,36"
197704,"0,52","3,19","0,57","2,57","-3,45","0,67","-3,43","-5,2","1,95","2,16","0,13"
197705,"-0,95","-0,5","-2,7","-0,4","-1,47","1,43","-2,76","-1,88","1,67","-0,84","-1,46"
197706,"4,53","4,32","3,37","6,06","7,78","1,96","6,02","9,04","5,72","5,34","4,7"
197707,"1,21","-2,43","-3,51","-1,84","-0,16","-0,86","-0,19","-2,24","0,87","-0,36","-1,69"
197708,"0,1","-0,87","-1,13","-5,72","0,49","-2,26","4,64","3,79","-3,25","-1,24","-1,75"
197709,"0,26","1,6","-0,97","0,78","-1,79","3,47","-0,64","-0,84","2,01","-0,08","-0,28"
197710,"-3,34","-4,46","-4,38","-3,58","-3,19","-5,06","-3,08","-1,68","-3,14","-4,43","-4,37"
197711,"4,61","1,95","4,18","3,45","5,22","2,21","5,45","6,02","4,3","6,46","4,03"
197712,"-0,01","-0,65","0,85","1,85","2,4","2,16","-1,33","0,59","-0,32","0,64","0,27"
197801,"-5,3","-6,86","-5,94","-6,9","-4,73","-4,16","-6,85","-1,86","-4,57","-5,32","-5,99"
197802,"0,13","0,41","-2,45","-1,1","-3,48","4,12","-0,43",-3,"-0,4","-0,16","-1,42"
197803,"4,15","6,11","3,83","2,03","-0,69","2,63","2,77","4,16","2,48","5,43","2,84"
197804,"6,9","9,68","11,41","6,76","13,31","2,96","10,89","9,2","0,23","9,32","7,84"
197805,"4,25","0,13","4,28","0,81","1,62","-0,39","1,26","5,25","0,71","2,55","1,72"
197806,"-0,26","-2,86","-1,52","-3,73","-0,36","-1,53","-1,95","1,1","0,82","-0,27","-1,72"
197807,"3,56","4,63","7,66","3,44","8,58","1,43","5,07","8,87","2,82","6,57","5,11"
197808,"4,13","2,88","3,89","5,13","6,02","3,57","5,56",1,"0,47","6,34","3,76"
197809,"-0,39","-0,45","-2,08","4,76","-4,16","1,21","-2,59","-2,75","-0,26","-1,25","-1,39"
197810,"-11,57","-11,18","-11,4","-10,61","-10,82","-4,53","-14,05","-12,84","-7,08","-14,07","-11,83"
197811,"2,21","0,78","3,04","6,21","5,08","3,01","2,58","5,18","3,01","2,51","2,71"
197812,"1,73","-0,56","1,51","2,95","6,44","0,1","-0,61","3,42","-1,23","1,32","0,9"
197901,"4,19","4,99","6,26","3,19","4,31","3,64","5,64","1,42","6,35","6,1","4,2"
197902,"-3,51","-3,54","-4,47","0,64","-3,31","-0,63","-4,33","-4,52","-1,62","-3,26","-3,54"
197903,"4,07","6,6","7,28","9,3","7,61","0,16","5,96","5,05","2,35","8,17","5,64"
197904,"0,22","2,99","-0,35","4,31","0,33","-2,13","0,69","0,42","-2,72","1,53","-0,07"
197905,"-1,77","-0,79","-2,29","-2,31","-1,98","0,09","-2,55","-2,64","1,39","-0,09","-2,18"
197906,"3,28","2,99","3,48","9,2","0,49","1,95","2,95","4,83","4,99",7,"3,88"
197907,"2,07","2,05","2,08","1,7","-1,52","-0,11","1,15","0,14","2,12","3,3","0,79"
197908,"7,55","4,71","7,51","7,96","5,94","1,57","8,81","8,54","2,05","5,84","5,6"
197909,"-1,91","0,43","-0,74","5,84","-1,76","-2,39","-0,78","-0,54","-2,14","-0,68","-0,71"
197910,"-7,68","-9,43","-8,85","-2,39","-7,73","-5,03","-8,8","-4,34","-5,8","-10,15","-8,1"
197911,"5,16","-2,35","4,94","8,91","8,17","4,06","3,95","8,75","7,79","7,01","5,24"
197912,"3,37","3,38","4,37","2,68","1,79","-1,53","2,98","2,08","-0,92","4,14","1,79"
198001,"3,12","9,05","7,02","14,16","7,37","-2,05","0,92","-1,29","1,6","5,51","5,5"
198002,"-4,79","-6,31","-2,65","12,59","-3,56","-1,48","-4,82","-4,63","-3,36","-3,33","-1,08"
198003,"-8,16","-8,74","-11,68","-17,79","-12,67","-2,64","-8,52","-2,84","-6,67","-12,24","-12,85"
198004,"6,52","-1,91","3,25","6,85","0,72","7,3","3,43","4,28","11,96","6,05","3,95"
198005,"7,89","4,31","6,18","4,05","4,82","5,02","10,7","6,96","4,61","8,11","5,24"
198006,"2,99","2,78","2,41","5,81","3,03","-0,59","2,39","0,21","4,54","5,16","3,04"
198007,"7,76","11,75","10,76","1,67","15,48","1,02","10,65","8,89","-0,12","6,64","6,45"
198008,"1,45","1,46","1,73","3,79","3,68","6,31","1,99","0,3","-1,08","2,67","1,68"
198009,"0,2","0,97","3,03","6,8","2,01","-1,59","1,12","3,6","0,17","3,65","2,15"
198010,"0,28","-1,73","0,37",8,"1,94","-3,24","-1,57","-1,29","2,01","1,56","1,01"
198011,"0,92","4,77","8,56","24,56","9,8","0,01","2,96","8,81","7,51","7,38","9,56"
198012,"1,04","-1,16","-2,12","-10,88","-1,17","0,82","-1,45","4,61","-2,02","-0,72","-4,4"
198101,2,"-2,2","-2,04","-10,36","-8,08","5,53","0,43","-1,57","-2,72","-2,56","-5,03"
198102,"2,49","6,4","4,4","-0,47","0,49","2,15","2,82","1,85","-1,32","1,7","0,65"
198103,"6,93","7,07","5,88","-2,49","5,01","1,16","12,7","5,87","2,96","8,45","3,3"
198104,"1,16","1,81","-0,84","-7,45","0,15","6,21","2,98",3,"-2,58","0,93","-2,06"
198105,"2,64","2,89","-0,32","-4,01","4,23","7,14","2,73","3,47","1,95","2,51","0,07"
198106,"-0,2","-4,21","-1,38","4,75","-6,66","-1,91","-1,59","-5,58","3,45","-0,97","-2,07"
198107,"-0,65","-2,97","-2,73","7,86","-3,78","0,37","-3,2","-3,89","2,8","-2,69","-1,55"
198108,"-5,11","-7,84","-6,87","-6,4","-7,27","-0,8","-5,28","-7,75","-0,84","-5,49","-6,97"
198109,"-2,18","-2,97","-7,03","-12,3","-3,89","2,81","-3,75","-1,33","-5,56","-5,46","-7,22"
198110,"7,51","-4,14","3,76",10,"5,15","6,03","6,87","7,95","4,87","7,15","4,83"
198111,"2,69","4,82","4,3","6,86","1,54","2,64",1,"3,93","5,91","5,08","3,4"
198112,"-1,79","0,41","-1,5","-6,54","-0,02","-1,43","-2,17","-0,75","-2,33","-3,74","-3,67"
198201,"-0,9","1,21","-3,19","-8,58","2,78","0,67","0,19","1,45","-0,69","-3,25","-3,27"
198202,"-1,97","-1,94","-5,76","-10,94","-5,22","-5,7","-1,45","-1,8","-0,43","-3,92","-5,85"
198203,"2,47","3,64","-1,72","-3,61","-3,57","2,05","4,25","-2,58","1,63","-1,3","-1,81"
198204,"6,64","4,48","3,13","4,4","7,44","-0,17","5,45","7,34","3,83","3,71","3,3"
198205,"-3,21","-1,82","-4,6","2,47","-5,42","-1,05","-2,68","-3,05","-0,5","-5,47","-3,8"
198206,"1,7","2,7","-2,6","-6,47","-2,33","-2,55","2,95","-0,73","-2,24","-2,43","-3,07"
198207,"-0,46","-0,4","-2,3","-7,95","1,56","1,18","0,16","0,81","-2,61","-3,02","-3,15"
198208,"9,21","13,76","13,8","9,83","12,78","10,84","12,48","12,38","11,92","11,33","11,06"
198209,"5,32","-0,72","-1,02","1,95","1,2","1,03","4,64","1,34","1,09","4,16","1,27"
198210,"10,58","16,56","12,95","5,61","16,96","8,18","16,94","8,34","4,9","15,7","11,2"
198211,"5,16","8,22","5,73","-4,39","10,67","6,01","11,01","5,24","0,11","7,61","4,61"
198212,"0,85","3,14","0,8","5,47","2,7","-1,23","-2,15","0,54","4,28","-1,31","0,56"
198301,"-1,02","5,12","5,03","3,7","8,39","12,35","1,44","1,48","3,65","2,85","3,47"
198302,"3,76","3,56","4,09","-0,39","3,59","-0,3","8,06","2,78","1,45","4,61","2,58"
